winner,roundname,away_goals,away_team,venue,home_goals,home_team,home_score,away_behinds,away_score,year,home_behinds,points_away,points_home,state
Richmond,Round 1,20.0,Richmond,M.C.G.,14.0,Carlton,89,12.0,132,2017,5.0,32.0,19.0,Victoria
Western Bulldogs,Round 1,15.0,Western Bulldogs,M.C.G.,12.0,Collingwood,86,10.0,100,2017,14.0,25.0,26.0,Victoria
Port Adelaide,Round 1,17.0,Port Adelaide,S.C.G.,12.0,Sydney,82,8.0,110,2017,10.0,25.0,22.0,New South Wales
Melbourne,Round 1,18.0,Melbourne,Docklands,13.0,St Kilda,90,12.0,120,2017,12.0,30.0,25.0,Victoria
Brisbane Lions,Round 1,15.0,Brisbane Lions,Carrara,14.0,Gold Coast,96,8.0,98,2017,12.0,23.0,26.0,Queensland
Essendon,Round 1,12.0,Hawthorn,M.C.G.,17.0,Essendon,116,19.0,91,2017,14.0,31.0,31.0,Victoria
West Coast,Round 1,21.0,West Coast,Docklands,13.0,North Melbourne,93,10.0,136,2017,15.0,31.0,28.0,Victoria
Adelaide,Round 1,14.0,Greater Western Sydney,Adelaide Oval,22.0,Adelaide,147,7.0,91,2017,15.0,21.0,37.0,South Australia
Geelong,Round 1,18.0,Geelong,Subiaco,10.0,Fremantle,73,7.0,115,2017,13.0,25.0,23.0,Western Australia
Richmond,Round 2,11.0,Collingwood,M.C.G.,14.0,Richmond,99,14.0,80,2017,15.0,25.0,29.0,Victoria
Western Bulldogs,Round 2,13.0,Sydney,Docklands,16.0,Western Bulldogs,110,9.0,87,2017,14.0,22.0,30.0,Victoria
Adelaide,Round 2,16.0,Adelaide,M.C.G.,13.0,Hawthorn,89,17.0,113,2017,11.0,33.0,24.0,Victoria
Greater Western Sydney,Round 2,8.0,Gold Coast,Sydney Showground,24.0,Greater Western Sydney,160,10.0,58,2017,16.0,18.0,40.0,New South Wales
Essendon,Round 2,17.0,Essendon,Gabba,12.0,Brisbane Lions,84,9.0,111,2017,12.0,26.0,24.0,Queensland
West Coast,Round 2,13.0,St Kilda,Subiaco,18.0,West Coast,116,19.0,97,2017,8.0,32.0,26.0,Western Australia
Geelong,Round 2,17.0,North Melbourne,Docklands,17.0,Geelong,112,9.0,111,2017,10.0,26.0,27.0,Victoria
Melbourne,Round 2,9.0,Carlton,M.C.G.,13.0,Melbourne,86,10.0,64,2017,8.0,19.0,21.0,Victoria
Port Adelaide,Round 2,8.0,Fremantle,Adelaide Oval,22.0,Port Adelaide,145,8.0,56,2017,13.0,16.0,35.0,South Australia
Collingwood,Round 3,11.0,Collingwood,S.C.G.,11.0,Sydney,79,14.0,80,2017,13.0,25.0,24.0,New South Wales
Greater Western Sydney,Round 3,15.0,Greater Western Sydney,Bellerive Oval,10.0,North Melbourne,67,19.0,109,2017,7.0,34.0,17.0,Victoria
Richmond,Round 3,8.0,West Coast,M.C.G.,11.0,Richmond,76,17.0,65,2017,10.0,25.0,21.0,Victoria
Geelong,Round 3,13.0,Melbourne,Docklands,20.0,Geelong,126,19.0,97,2017,6.0,32.0,26.0,Victoria
Adelaide,Round 3,15.0,Adelaide,Adelaide Oval,12.0,Port Adelaide,83,10.0,100,2017,11.0,25.0,23.0,South Australia
Fremantle,Round 3,10.0,Western Bulldogs,Subiaco,13.0,Fremantle,89,13.0,73,2017,11.0,23.0,24.0,Western Australia
St Kilda,Round 3,11.0,Brisbane Lions,Docklands,14.0,St Kilda,107,10.0,76,2017,23.0,21.0,37.0,Victoria
Carlton,Round 3,6.0,Essendon,M.C.G.,7.0,Carlton,57,6.0,42,2017,15.0,12.0,22.0,Victoria
Gold Coast,Round 3,7.0,Hawthorn,Carrara,21.0,Gold Coast,139,11.0,53,2017,13.0,18.0,34.0,Queensland
West Coast,Round 4,10.0,Sydney,Subiaco,13.0,West Coast,91,5.0,65,2017,13.0,15.0,26.0,Western Australia
Western Bulldogs,Round 4,12.0,Western Bulldogs,Docklands,12.0,North Melbourne,86,17.0,89,2017,14.0,29.0,26.0,Victoria
Fremantle,Round 4,16.0,Fremantle,M.C.G.,15.0,Melbourne,104,10.0,106,2017,14.0,26.0,29.0,Victoria
Greater Western Sydney,Round 4,11.0,Port Adelaide,UNSW Canberra Oval,16.0,Greater Western Sydney,112,15.0,81,2017,16.0,26.0,32.0,New South Wales
Gold Coast,Round 4,17.0,Gold Coast,Docklands,12.0,Carlton,82,6.0,108,2017,10.0,23.0,22.0,Victoria
Adelaide,Round 4,13.0,Essendon,Adelaide Oval,24.0,Adelaide,153,10.0,88,2017,9.0,23.0,33.0,South Australia
St Kilda,Round 4,9.0,St Kilda,Docklands,7.0,Collingwood,55,15.0,69,2017,13.0,24.0,20.0,Victoria
Richmond,Round 4,17.0,Richmond,Gabba,10.0,Brisbane Lions,67,17.0,119,2017,7.0,34.0,17.0,Queensland
Geelong,Round 4,20.0,Geelong,M.C.G.,6.0,Hawthorn,48,14.0,134,2017,12.0,34.0,18.0,Victoria
Port Adelaide,Round 5,6.0,Carlton,Adelaide Oval,20.0,Port Adelaide,137,11.0,47,2017,17.0,17.0,37.0,South Australia
Western Bulldogs,Round 5,14.0,Brisbane Lions,Docklands,17.0,Western Bulldogs,122,6.0,90,2017,20.0,20.0,37.0,Victoria
Adelaide,Round 5,23.0,Adelaide,Carrara,13.0,Gold Coast,86,15.0,153,2017,8.0,38.0,21.0,Queensland
Greater Western Sydney,Round 5,15.0,Greater Western Sydney,S.C.G.,9.0,Sydney,63,15.0,105,2017,9.0,30.0,18.0,New South Wales
Fremantle,Round 5,9.0,North Melbourne,Subiaco,9.0,Fremantle,67,8.0,62,2017,13.0,17.0,22.0,Western Australia
Geelong,Round 5,19.0,Geelong,Docklands,13.0,St Kilda,88,12.0,126,2017,10.0,31.0,23.0,Victoria
Hawthorn,Round 5,11.0,West Coast,M.C.G.,19.0,Hawthorn,125,9.0,75,2017,11.0,20.0,30.0,Victoria
Richmond,Round 5,11.0,Melbourne,M.C.G.,12.0,Richmond,88,9.0,75,2017,16.0,20.0,28.0,Victoria
Essendon,Round 5,11.0,Collingwood,M.C.G.,15.0,Essendon,100,16.0,82,2017,10.0,27.0,25.0,Victoria
Greater Western Sydney,Round 6,9.0,Western Bulldogs,UNSW Canberra Oval,11.0,Greater Western Sydney,75,19.0,73,2017,9.0,28.0,20.0,New South Wales
St Kilda,Round 6,19.0,St Kilda,University of Tasmania Stadium,8.0,Hawthorn,55,16.0,130,2017,7.0,35.0,15.0,Victoria
Carlton,Round 6,11.0,Sydney,M.C.G.,15.0,Carlton,97,12.0,78,2017,7.0,23.0,22.0,Victoria
Port Adelaide,Round 6,22.0,Port Adelaide,Gabba,10.0,Brisbane Lions,67,18.0,150,2017,7.0,40.0,17.0,Queensland
North Melbourne,Round 6,14.0,Gold Coast,Docklands,16.0,North Melbourne,107,10.0,94,2017,11.0,24.0,27.0,Victoria
West Coast,Round 6,9.0,Fremantle,Subiaco,16.0,West Coast,103,8.0,62,2017,7.0,17.0,23.0,Western Australia
Melbourne,Round 6,17.0,Melbourne,Docklands,10.0,Essendon,74,10.0,112,2017,14.0,27.0,24.0,Victoria
Collingwood,Round 6,15.0,Collingwood,M.C.G.,11.0,Geelong,78,17.0,107,2017,12.0,32.0,23.0,Victoria
Adelaide,Round 6,10.0,Richmond,Adelaide Oval,21.0,Adelaide,140,4.0,64,2017,14.0,14.0,35.0,South Australia
St Kilda,Round 7,12.0,Greater Western Sydney,Docklands,16.0,St Kilda,108,13.0,85,2017,12.0,25.0,28.0,Victoria
North Melbourne,Round 7,13.0,Adelaide,Bellerive Oval,22.0,North Melbourne,145,8.0,86,2017,13.0,21.0,35.0,Victoria
Carlton,Round 7,12.0,Carlton,M.C.G.,8.0,Collingwood,56,7.0,79,2017,8.0,19.0,16.0,Victoria
West Coast,Round 7,15.0,West Coast,Adelaide Oval,12.0,Port Adelaide,87,7.0,97,2017,15.0,22.0,27.0,South Australia
Gold Coast,Round 7,15.0,Geelong,Carrara,18.0,Gold Coast,124,9.0,99,2017,16.0,24.0,34.0,Queensland
Western Bulldogs,Round 7,11.0,Richmond,Docklands,11.0,Western Bulldogs,80,9.0,75,2017,14.0,20.0,25.0,Victoria
Sydney,Round 7,12.0,Brisbane Lions,S.C.G.,20.0,Sydney,135,9.0,81,2017,15.0,21.0,35.0,New South Wales
Hawthorn,Round 7,14.0,Hawthorn,M.C.G.,14.0,Melbourne,91,10.0,94,2017,7.0,24.0,21.0,Victoria
Fremantle,Round 7,11.0,Essendon,Subiaco,17.0,Fremantle,116,13.0,79,2017,14.0,24.0,31.0,Western Australia
West Coast,Round 8,8.0,Western Bulldogs,Subiaco,9.0,West Coast,69,13.0,61,2017,15.0,21.0,24.0,Western Australia
Hawthorn,Round 8,11.0,Brisbane Lions,University of Tasmania Stadium,17.0,Hawthorn,113,9.0,75,2017,11.0,20.0,28.0,Victoria
St Kilda,Round 8,10.0,Carlton,Docklands,12.0,St Kilda,85,6.0,66,2017,13.0,16.0,25.0,Victoria
Greater Western Sydney,Round 8,15.0,Collingwood,Sydney Showground,15.0,Greater Western Sydney,102,9.0,99,2017,12.0,24.0,27.0,New South Wales
Essendon,Round 8,13.0,Geelong,M.C.G.,17.0,Essendon,110,15.0,93,2017,8.0,28.0,25.0,Victoria
Melbourne,Round 8,17.0,Melbourne,Adelaide Oval,9.0,Adelaide,66,5.0,107,2017,12.0,22.0,21.0,South Australia
Fremantle,Round 8,10.0,Fremantle,M.C.G.,10.0,Richmond,70,12.0,72,2017,10.0,22.0,20.0,Victoria
Port Adelaide,Round 8,16.0,Port Adelaide,Adelaide Arena at Jiangwan Stadium,4.0,Gold Coast,38,14.0,110,2017,14.0,30.0,18.0,Queensland
