away_goals,year,home_behinds,home_goals,away_behinds,away_team,home_team,venue,home_score,away_score,roundname,winner
20,2017,5,14,12,Richmond,Carlton,M.C.G.,89,132,Round 1,Richmond
15,2017,14,12,10,Western Bulldogs,Collingwood,M.C.G.,86,100,Round 1,Western Bulldogs
17,2017,10,12,8,Port Adelaide,Sydney,S.C.G.,82,110,Round 1,Port Adelaide
18,2017,12,13,12,Melbourne,St Kilda,Docklands,90,120,Round 1,Melbourne
15,2017,12,14,8,Brisbane Lions,Gold Coast,Carrara,96,98,Round 1,Brisbane Lions
12,2017,14,17,19,Hawthorn,Essendon,M.C.G.,116,91,Round 1,Essendon
21,2017,15,13,10,West Coast,North Melbourne,Docklands,93,136,Round 1,West Coast
14,2017,15,22,7,Greater Western Sydney,Adelaide,Adelaide Oval,147,91,Round 1,Adelaide
18,2017,13,10,7,Geelong,Fremantle,Subiaco,73,115,Round 1,Geelong
11,2017,15,14,14,Collingwood,Richmond,M.C.G.,99,80,Round 2,Richmond
13,2017,14,16,9,Sydney,Western Bulldogs,Docklands,110,87,Round 2,Western Bulldogs
16,2017,11,13,17,Adelaide,Hawthorn,M.C.G.,89,113,Round 2,Adelaide
8,2017,16,24,10,Gold Coast,Greater Western Sydney,Sydney Showground,160,58,Round 2,Greater Western Sydney
17,2017,12,12,9,Essendon,Brisbane Lions,Gabba,84,111,Round 2,Essendon
13,2017,8,18,19,St Kilda,West Coast,Subiaco,116,97,Round 2,West Coast
17,2017,10,17,9,North Melbourne,Geelong,Docklands,112,111,Round 2,Geelong
9,2017,8,13,10,Carlton,Melbourne,M.C.G.,86,64,Round 2,Melbourne
8,2017,13,22,8,Fremantle,Port Adelaide,Adelaide Oval,145,56,Round 2,Port Adelaide
11,2017,13,11,14,Collingwood,Sydney,S.C.G.,79,80,Round 3,Collingwood
15,2017,7,10,19,Greater Western Sydney,North Melbourne,Bellerive Oval,67,109,Round 3,Greater Western Sydney
8,2017,10,11,17,West Coast,Richmond,M.C.G.,76,65,Round 3,Richmond
13,2017,6,20,19,Melbourne,Geelong,Docklands,126,97,Round 3,Geelong
15,2017,11,12,10,Adelaide,Port Adelaide,Adelaide Oval,83,100,Round 3,Adelaide
10,2017,11,13,13,Western Bulldogs,Fremantle,Subiaco,89,73,Round 3,Fremantle
11,2017,23,14,10,Brisbane Lions,St Kilda,Docklands,107,76,Round 3,St Kilda
6,2017,15,7,6,Essendon,Carlton,M.C.G.,57,42,Round 3,Carlton
7,2017,13,21,11,Hawthorn,Gold Coast,Carrara,139,53,Round 3,Gold Coast
10,2017,13,13,5,Sydney,West Coast,Subiaco,91,65,Round 4,West Coast
12,2017,14,12,17,Western Bulldogs,North Melbourne,Docklands,86,89,Round 4,Western Bulldogs
16,2017,14,15,10,Fremantle,Melbourne,M.C.G.,104,106,Round 4,Fremantle
11,2017,16,16,15,Port Adelaide,Greater Western Sydney,UNSW Canberra Oval,112,81,Round 4,Greater Western Sydney
17,2017,10,12,6,Gold Coast,Carlton,Docklands,82,108,Round 4,Gold Coast
13,2017,9,24,10,Essendon,Adelaide,Adelaide Oval,153,88,Round 4,Adelaide
9,2017,13,7,15,St Kilda,Collingwood,Docklands,55,69,Round 4,St Kilda
17,2017,7,10,17,Richmond,Brisbane Lions,Gabba,67,119,Round 4,Richmond
20,2017,12,6,14,Geelong,Hawthorn,M.C.G.,48,134,Round 4,Geelong
6,2017,17,20,11,Carlton,Port Adelaide,Adelaide Oval,137,47,Round 5,Port Adelaide
14,2017,20,17,6,Brisbane Lions,Western Bulldogs,Docklands,122,90,Round 5,Western Bulldogs
23,2017,8,13,15,Adelaide,Gold Coast,Carrara,86,153,Round 5,Adelaide
15,2017,9,9,15,Greater Western Sydney,Sydney,S.C.G.,63,105,Round 5,Greater Western Sydney
9,2017,13,9,8,North Melbourne,Fremantle,Subiaco,67,62,Round 5,Fremantle
19,2017,10,13,12,Geelong,St Kilda,Docklands,88,126,Round 5,Geelong
11,2017,11,19,9,West Coast,Hawthorn,M.C.G.,125,75,Round 5,Hawthorn
11,2017,16,12,9,Melbourne,Richmond,M.C.G.,88,75,Round 5,Richmond
11,2017,10,15,16,Collingwood,Essendon,M.C.G.,100,82,Round 5,Essendon
9,2017,9,11,19,Western Bulldogs,Greater Western Sydney,UNSW Canberra Oval,75,73,Round 6,Greater Western Sydney
19,2017,7,8,16,St Kilda,Hawthorn,University of Tasmania Stadium,55,130,Round 6,St Kilda
11,2017,7,15,12,Sydney,Carlton,M.C.G.,97,78,Round 6,Carlton
22,2017,7,10,18,Port Adelaide,Brisbane Lions,Gabba,67,150,Round 6,Port Adelaide
14,2017,11,16,10,Gold Coast,North Melbourne,Docklands,107,94,Round 6,North Melbourne
9,2017,7,16,8,Fremantle,West Coast,Subiaco,103,62,Round 6,West Coast
17,2017,14,10,10,Melbourne,Essendon,Docklands,74,112,Round 6,Melbourne
15,2017,12,11,17,Collingwood,Geelong,M.C.G.,78,107,Round 6,Collingwood
10,2017,14,21,4,Richmond,Adelaide,Adelaide Oval,140,64,Round 6,Adelaide
12,2017,12,16,13,Greater Western Sydney,St Kilda,Docklands,108,85,Round 7,St Kilda
13,2017,13,22,8,Adelaide,North Melbourne,Bellerive Oval,145,86,Round 7,North Melbourne
12,2017,8,8,7,Carlton,Collingwood,M.C.G.,56,79,Round 7,Carlton
15,2017,15,12,7,West Coast,Port Adelaide,Adelaide Oval,87,97,Round 7,West Coast
15,2017,16,18,9,Geelong,Gold Coast,Carrara,124,99,Round 7,Gold Coast
11,2017,14,11,9,Richmond,Western Bulldogs,Docklands,80,75,Round 7,Western Bulldogs
12,2017,15,20,9,Brisbane Lions,Sydney,S.C.G.,135,81,Round 7,Sydney
14,2017,7,14,10,Hawthorn,Melbourne,M.C.G.,91,94,Round 7,Hawthorn
11,2017,14,17,13,Essendon,Fremantle,Subiaco,116,79,Round 7,Fremantle
8,2017,15,9,13,Western Bulldogs,West Coast,Subiaco,69,61,Round 8,West Coast
11,2017,11,17,9,Brisbane Lions,Hawthorn,University of Tasmania Stadium,113,75,Round 8,Hawthorn
10,2017,13,12,6,Carlton,St Kilda,Docklands,85,66,Round 8,St Kilda
15,2017,12,15,9,Collingwood,Greater Western Sydney,Sydney Showground,102,99,Round 8,Greater Western Sydney
13,2017,8,17,15,Geelong,Essendon,M.C.G.,110,93,Round 8,Essendon
17,2017,12,9,5,Melbourne,Adelaide,Adelaide Oval,66,107,Round 8,Melbourne
10,2017,10,10,12,Fremantle,Richmond,M.C.G.,70,72,Round 8,Fremantle
16,2017,14,4,14,Port Adelaide,Gold Coast,Adelaide Arena at Jiangwan Stadium,38,110,Round 8,Port Adelaide
18,2017,12,11,12,Sydney,North Melbourne,Docklands,78,120,Round 8,Sydney
12,2017,8,16,9,Western Bulldogs,Geelong,GMHBA Stadium,104,81,Round 9,Geelong
18,2017,8,10,10,Sydney,St Kilda,Docklands,68,118,Round 9,Sydney
