team,displayName,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles
Adelaide,"Berry, Sam",8,6,1,2,0,1,0,7
Adelaide,"Brown, Luke",5,2,0,3,0,0,0,2
Adelaide,"Butts, Jordon",10,5,3,5,0,0,0,0
Adelaide,"Doedee, Tom",13,9,4,4,0,0,0,4
Adelaide,"Frampton, Billy",14,10,8,4,2,2,7,0
Adelaide,"Hamill, Will",6,5,0,1,0,0,0,5
Adelaide,"Hinge, Mitch",7,6,3,1,0,0,0,0
Adelaide,"Keays, Ben",23,15,4,8,0,1,0,4
Adelaide,"Kelly, Jake",4,2,0,2,0,0,0,2
Adelaide,"Laird, Rory",27,18,7,9,0,2,0,6
Adelaide,"Lynch, Tom",17,12,8,5,1,0,0,2
Adelaide,"McAdam, Shane",7,3,4,4,1,0,0,1
Adelaide,"McHenry, Ned",12,7,1,5,2,1,0,3
Adelaide,"McPherson, Andrew",10,7,2,3,0,0,0,4
Adelaide,"Murphy, Lachlan",11,6,0,5,1,1,0,4
Adelaide,"OBrien, Reilly",8,3,2,5,0,0,22,1
Adelaide,"Rowe, James",16,11,5,5,2,0,0,3
Adelaide,"Schoenberg, Harry",16,6,3,10,1,1,0,3
Adelaide,"Seedsman, Paul",21,14,8,7,0,1,0,1
Adelaide,"Sholl, Lachlan",23,16,9,7,0,0,0,3
Adelaide,"Sloane, Rory",20,11,5,9,0,0,0,4
Adelaide,"Smith, Brodie",21,14,6,7,0,1,0,0
Adelaide,"Walker, Taylor",18,11,7,7,5,2,2,1
Adelaide,"Berry, Sam",7,5,1,2,0,4,0,10
Adelaide,"Butts, Jordon",9,4,2,5,0,0,0,0
Adelaide,"Doedee, Tom",21,12,3,9,0,0,0,4
Adelaide,"Frampton, Billy",7,2,2,5,0,0,5,3
Adelaide,"Hamill, Will",11,5,0,6,0,0,0,2
Adelaide,"Jones, Chayce",0,0,0,0,0,0,0,0
Adelaide,"Keays, Ben",28,19,2,9,1,0,0,2
Adelaide,"Laird, Rory",30,15,2,15,0,2,0,4
Adelaide,"Lynch, Tom",15,11,4,4,0,4,0,1
Adelaide,"Mackay, David",14,10,2,4,0,0,0,1
Adelaide,"McAdam, Shane",11,7,4,4,4,2,0,1
Adelaide,"McHenry, Ned",13,7,3,6,0,1,0,1
Adelaide,"McPherson, Andrew",6,3,2,3,0,0,0,1
Adelaide,"Murphy, Lachlan",12,7,2,5,0,2,0,3
Adelaide,"Murray, Nick",10,5,3,5,0,0,0,1
Adelaide,"OBrien, Reilly",10,5,1,5,0,0,24,0
Adelaide,"Rowe, James",8,4,3,4,0,0,0,2
Adelaide,"Schoenberg, Harry",14,8,4,6,0,1,0,4
Adelaide,"Seedsman, Paul",21,10,6,11,0,0,0,1
Adelaide,"Sholl, Lachlan",16,9,2,7,0,0,0,0
Adelaide,"Sloane, Rory",21,12,3,9,0,0,0,5
Adelaide,"Smith, Brodie",16,11,2,5,0,0,0,0
Adelaide,"Walker, Taylor",15,13,6,2,6,3,3,4
Adelaide,"Berry, Sam",11,4,2,7,1,1,0,4
Adelaide,"Brown, Luke",13,10,2,3,0,0,0,2
Adelaide,"Butts, Jordon",10,9,4,1,0,0,0,2
Adelaide,"Doedee, Tom",15,8,3,7,0,0,0,2
Adelaide,"Frampton, Billy",5,4,3,1,0,1,2,1
Adelaide,"Hamill, Will",9,5,4,4,0,0,0,3
Adelaide,"Keays, Ben",26,16,5,10,1,1,0,3
Adelaide,"Kelly, Jake",21,9,6,12,0,0,0,2
Adelaide,"Laird, Rory",28,11,2,17,0,0,0,9
Adelaide,"Lynch, Tom",15,11,5,4,0,0,0,3
Adelaide,"McAdam, Shane",8,3,2,5,2,0,0,0
Adelaide,"McHenry, Ned",12,4,1,8,1,0,0,3
Adelaide,"McPherson, Andrew",14,11,2,3,0,0,0,1
Adelaide,"Murphy, Lachlan",10,5,1,5,0,1,0,5
Adelaide,"Murray, Nick",0,0,0,0,0,0,0,0
Adelaide,"OBrien, Reilly",19,5,3,14,0,0,34,3
Adelaide,"Rowe, James",14,7,1,7,2,1,0,0
Adelaide,"Schoenberg, Harry",12,9,1,3,1,0,0,2
Adelaide,"Seedsman, Paul",27,17,5,10,0,1,0,2
Adelaide,"Sholl, Lachlan",18,13,9,5,0,1,0,0
Adelaide,"Sloane, Rory",34,15,7,19,0,0,0,3
Adelaide,"Smith, Brodie",26,19,4,7,0,0,0,4
Adelaide,"Walker, Taylor",24,15,9,9,6,3,0,3
Adelaide,"Berry, Sam",8,2,3,6,0,0,0,7
Adelaide,"Brown, Luke",15,8,4,7,0,0,0,4
Adelaide,"Butts, Jordon",8,3,2,5,0,0,0,1
Adelaide,"Doedee, Tom",18,11,9,7,0,0,0,3
Adelaide,"Fogarty, Darcy",5,5,5,0,3,0,0,1
Adelaide,"Frampton, Billy",9,6,5,3,0,2,1,0
Adelaide,"Hamill, Will",15,7,4,8,0,0,0,0
Adelaide,"Keays, Ben",24,12,3,12,0,0,0,8
Adelaide,"Kelly, Jake",18,11,6,7,0,0,0,4
Adelaide,"Laird, Rory",31,12,4,19,0,0,0,3
Adelaide,"Lynch, Tom",17,12,5,5,0,2,0,1
Adelaide,"Mackay, David",0,0,0,0,0,0,0,0
Adelaide,"McAdam, Shane",7,6,4,1,3,0,0,1
Adelaide,"McHenry, Ned",13,5,4,8,0,0,0,4
Adelaide,"McPherson, Andrew",23,14,4,9,0,0,0,1
Adelaide,"Murphy, Lachlan",11,6,1,5,1,0,0,7
Adelaide,"OBrien, Reilly",24,7,8,17,1,0,30,4
Adelaide,"Rowe, James",9,6,2,3,1,1,0,3
Adelaide,"Schoenberg, Harry",20,15,6,5,2,0,0,4
Adelaide,"Seedsman, Paul",25,17,4,8,1,1,0,4
Adelaide,"Sholl, Lachlan",31,25,8,6,1,2,0,2
Adelaide,"Smith, Brodie",22,19,7,3,0,1,0,3
Adelaide,"Walker, Taylor",17,12,7,5,3,2,0,3
Adelaide,"Berry, Sam",13,3,1,10,0,0,0,1
Adelaide,"Brown, Luke",15,9,4,6,0,0,0,5
Adelaide,"Butts, Jordon",17,14,9,3,0,0,0,2
Adelaide,"Doedee, Tom",23,12,6,11,0,0,0,1
Adelaide,"Fogarty, Darcy",11,7,2,4,1,0,0,2
Adelaide,"Frampton, Billy",10,7,4,3,0,1,3,0
Adelaide,"Hamill, Will",13,6,1,7,0,0,0,3
Adelaide,"Keays, Ben",31,17,4,14,0,1,0,1
Adelaide,"Kelly, Jake",19,14,8,5,0,0,0,3
Adelaide,"Laird, Rory",29,11,4,18,0,0,0,7
Adelaide,"Lynch, Tom",14,8,5,6,1,1,0,2
Adelaide,"McAdam, Shane",4,4,3,0,1,0,0,4
Adelaide,"McHenry, Ned",12,4,2,8,1,0,0,3
Adelaide,"McPherson, Andrew",12,5,3,7,0,0,0,0
Adelaide,"Murphy, Lachlan",15,9,2,6,1,0,0,3
Adelaide,"Murray, Nick",0,0,0,0,0,0,0,0
Adelaide,"OBrien, Reilly",17,7,4,10,0,0,32,3
Adelaide,"Rowe, James",12,7,1,5,2,0,0,3
Adelaide,"Schoenberg, Harry",16,10,2,6,0,0,0,1
Adelaide,"Seedsman, Paul",28,13,8,15,1,0,0,1
Adelaide,"Sholl, Lachlan",23,15,8,8,1,0,0,3
Adelaide,"Smith, Brodie",27,21,7,6,0,0,0,2
Adelaide,"Walker, Taylor",13,10,6,3,2,3,2,1
Adelaide,"Brown, Luke",7,5,4,2,0,0,0,2
Adelaide,"Butts, Jordon",11,7,5,4,0,0,0,0
Adelaide,"Doedee, Tom",16,11,5,5,0,0,0,0
Adelaide,"Fogarty, Darcy",9,5,1,4,0,0,0,2
Adelaide,"Hamill, Will",16,6,1,10,0,0,0,2
Adelaide,"Hately, Jackson",17,8,3,9,0,0,0,6
Adelaide,"Himmelberg, Elliott",9,6,5,3,2,0,2,0
Adelaide,"Keays, Ben",31,15,8,16,1,0,0,13
Adelaide,"Kelly, Jake",12,7,5,5,0,0,0,4
