Venue,Latitude,Longtitude
Adelaide Arena at Jiangwan Stadium,-35.3179579,149.1348551
Adelaide Oval,-34.91528754,138.5965759
Bellerive Oval,-42.87715476,147.3740879
Blacktown,-33.77053527,150.8525086
Carrara,-28.00608602,153.3671115
Cazaly's Stadium,-16.93550849,145.749135
Docklands,-37.81641212,144.9480527
Eureka Stadium,-37.53811044,143.8479833
Football Park,-34.87979485,138.4955606
Gabba,-27.48569482,153.0383857
GMHBA Stadium,-38.15780385,144.3546837
Jiangwan Stadium,31.30778882,121.5190365
Kardinia Park,-38.15782072,144.3546623
M.C.G.,-37.38434401,145.1486202
Manuka Oval,-35.31794914,149.1347478
Marrara Oval,-12.39858042,130.8853177
Mars Stadium,-37.53822954,143.8479082
Marvel Stadium,-37.81637822,144.9475699
Optus Stadium,-31.85275948,115.8899833
Perth Stadium,-31.85275948,115.8899833
Riverway Stadium,-19.31761912,146.7317297
S.C.G.,-33.8913108,151.2250752
Stadium Australia,-33.84686558,151.0634665
Subiaco,-31.94460121,115.829893
Sydney Showground,-33.8429272,151.0683132
Traeger Park,,
University of Tasmania Stadium,-41.42585185,147.1390497
UNSW Canberra Oval,-35.29320682,149.1687438
Wellington,-41.2727847,174.7862587
York Park,-41.42586794,147.1390283
